"Nome","Categoria","Website","Email","Telefone","Status"
"Robótica e Modelação 3D - Salesianos de Lisboa","Tecnologia e Robótica","https://www.google.pt/goto?url=CAESkwEB6zswFYs_zhsnoVFb-a2oOGDQpwbVW8LYHYUdyN7NKLIdCrR-CGDIulG5qDqphvLHVUYsL4HqS5BY3plsUzNAww818lblSUt6098b-BIB9ciNw-zumwfZMhXjz_A8sEYr2T1IaW3j0pRyL7Ir7IY82IEyOLZ2kHd00K6vFfcsuoIz6RB0QXJL0PcCwRB42OwcV3Y","lisboa@salesianos.pt","210 900 500","COMPLETO"
"Férias com Ciência - Pavilhão do ...","Tecnologia e Robótica","https://www.google.pt/goto?url=CAESaQHrOzAV1l4O4N6WQgx32Ro8WhJOHY4MwbqzzEzCg0Vk0Bo9DXPNie4zUx4fYmXdVxHnDi_Y4wsHPXsrzjl-ZhdixdZL3DuADFLqvR8QADeaK1nIseeTyhY3aNGUCjca8Cx0KJ73NcIuLw","","","FALHOU_SITE"
"Os melhores programas de férias para crianças este Verão","Tecnologia e Robótica","https://www.google.pt/goto?url=CAESkAEB6zswFax6q9scE-6xlIzVkeIQLldIX26CIRTNSMMOpyUxMIpwQNa1ST4x8y0cG_AFFtWDgMffHV3ru_Hnv-NFWOPR84TPXpoDiP3KWICb6oM9Sir9X_-QLefn5C4KSrK-uXIncAKeJZKP3BEcC8xGt-6yzxiUnka8eNYbzuZUinFIA4Qtu3RXGoWshhzOik8","","","FALHOU_SITE"
"Campos de Férias The Inventors 2025 em todo o País","Tecnologia e Robótica","https://www.google.pt/goto?url=CAEScQHrOzAVpdyAGk31XftJbyjfkxTyqmCh-nvtpUnrRvHIZsTjN8mV3nCanoeFqcU5feb9-4K-Fxv7IW0KuIBwaLW_-Anxyx9V5fIYj_vlkbmDraB5V3lb5LMrwZrx-aKUzKloNE69G3POeEHBMLlrflK7","","","FALHOU_SITE"
"Férias em Movimento","Tecnologia e Robótica","https://www.google.pt/goto?url=CAESXwHrOzAVf82HCCUXgR8oVrHaPtWoTVr9RZ3-agE6VfGioz5XDCFOmxs7VtD-G7Wq8TadRunS7lusFfZKYZtUNNEIjKVNaPUPYEMQ6OFBXpFZvxOHvY62JMjYfw7UsXrK","","","FALHOU_SITE"
"SUMMERCAMP","Tecnologia e Robótica","https://www.google.pt/goto?url=CAESXQHrOzAV7JD_95bs2WGAo9b8cBVfUpuOfgvDeyMSz3pLqLfHFDq6weY60IQ_Lg_uJEdYTF-lh1hXnxNShwJY8c_vGSEmG1pArSLYjOuSPWEnib8hEBf5Ut5dhFqNTA","info@sharkcoders.pt","","COMPLETO"
"Campos de férias para as crianças - Estrelas & Ouriços - SAPO","Tecnologia e Robótica","https://www.google.pt/goto?url=CAESaQHrOzAVNpNH8bLzhs_S2JZpHA1bOGH-YPKtTYkVWx5XCtZ_pn16pMQewsA85uS7J3qnDM_8j1HvmAOySNM08lS1P9k6umoYYHXlUl-cjOAU3f5fvMwEsMr69SE5P3QKSKoH_DW8zqqT3g","info@bowgym.pt","229 392 410","COMPLETO"
"Cursos de Programação jovens 2026 - Juvigo","Tecnologia e Robótica","https://www.google.pt/goto?url=CAESdwHrOzAVhwRBlylTJsLg2pVXXZpd00-odtwQBS25yJysDVUnnntj9t6xTi-U6ERNi5GFhrw81Bc87Adu3CAda3nxVrABvjikzXVNKSWKUZ15xB6z9o5A557IVu4pBpSwOtWdgmN2UWALTgi9-u9pjb9GswRoeo9r","contacto@juvigo.pt","210 204 945","COMPLETO"
"LISBOA - dos 9 aos 12","Tecnologia e Robótica","https://www.google.pt/goto?url=CAESfwHrOzAVzdW5vzNIPCrFmOjQoIcRA6jPe9QzyGtUWD6G449AR6LEAiCFnx25-PFE4I1A3EwbuHan7EqWLEXYd3qR9VrDENq6ueB4VLebXrC3MDav-Bee8WFsJGUovcaaWLcONE6UDYgMEyvTE0n9PEYRNAjZLMEqfaPYHmK1dPM","hello@theinventors.io","916805246","COMPLETO"
"Escolas de surf em Lisboa para umas férias de Verão ...","Surf e Mar","https://www.google.pt/goto?url=CAESqAEB6zswFRc5tO8WPP8QvXPjFTsJz4QKpRZB8svMa7wergdOr1r9_D2aaiF9O6ESX43-kLmvGOs4WvQY_5QU4bcePipEqdUKcphQcSjD2tdKRJz0yxkO8Knn5CgOu6E3G9ojwqE-KTN9h_REHuPDMGSVlEnJTDBVWdmL9A0F207Ako290v9Q4LqeR0sf5YjCAw0gMUyz7cWqLRx512S973G7fNE-BpTjNfU","","","FALHOU_SITE"
"Campos de férias Surf 2026 - Juvigo","Surf e Mar","https://www.google.pt/goto?url=CAEScAHrOzAVgobQs3z24ScQLrT7t34d7c6Rv2e348QOeeAFVhdrRk_aWzyAnDpTqD2cBxfScTBSeIM5SO-0pdwK-j2OL8pwlyuLn4NalpJm3vOuna8Gbyb0rOWbHdlP_Y2mg3MzVokzkPg6sNmFCJLxH6c","contacto@juvigo.pt","210 204 945","COMPLETO"
"ATL Surf in Carcavelos, Portugal","Surf e Mar","https://www.google.pt/goto?url=CAESZQHrOzAVAwHkO971iBmRI9c8OUuKN15V2f_mWgHHTWf1_uKG3-jr0qOfXL2zcpPshl3xrhj9N0o_xW85IuNHg7x-lucrohv3XdiTzPTayKqRJDuC5NnPmzg6-DN3XQd8m1y6GT4S","info@carcavelossurfschool.com","+351962850497","COMPLETO"
"GREEN COAST :: CAMPO DE FÉRIAS :: summer camp - Surf","Surf e Mar","https://www.google.pt/goto?url=CAESYgHrOzAVet68vTZ7qVTx6Vfd8gfvpfzKNpK3EqcWHx4jZuya0LyDQdA9C5Y-enAA9giKF2f0q9MzZCtyvqn7zGO0w91rJlZ3ruxZVgViQ2rDzMGT3czMLuGVD21TOKTO685J","surfgreencoast@gmail.com","+351 912 973 799","COMPLETO"
"Campos de férias Surf Carcavelos 2026 - Juvigo","Surf e Mar","https://www.google.pt/goto?url=CAESewHrOzAV4US3KZU3Fmv02MyIUkAnOM3Rr_pvBNuw3w3RUdDLIbInwk6FMOuFJFHpcKKLIHrxOUrB9tKI9SorBIhXH7LRWQD0uYluq7Bt3BNix9znLjO3lMQQOhrxe0X3n1F9FZj5PixUSEMWJbhSLydKI_2RkWGgYdGklg","contacto@juvigo.pt","210 204 945","COMPLETO"
"ATL / CAMPO DE FÉRIAS","Surf e Mar","https://www.google.pt/goto?url=CAESZwHrOzAVyD8y8rXUQ2NfLAgLuvS8nvAdiy2QG2wXhxgADQTDoG7LLCIKG5eqN1T16CCUYJWFWywHnlBPc1eSJnqYuu218phusSHls-3lbrRCoSJVe1YEMY8HxTF20W4q7hB0GLM0jcc","","","FALHOU_SITE"
"Campo de Férias","Surf e Mar","https://www.google.pt/goto?url=CAESYgHrOzAVzBKoP7MFhyIdM6C_Iq_ON5dOmoDPJnCHEToK7aQT83HY0D2zmtQdwyXCkDnvItEoGtHBALLEpkz5CocnRR_ukCS09r2GRk1-LprF1UyLdhE1Dx3ttnahQ1oifjNU","info@fishsurfschool.com","+351 916 082 218","COMPLETO"
"Nas ondas no Campo de Férias Surf em Carcavelos","Surf e Mar","https://www.google.pt/goto?url=CAEShQEB6zswFTjiuWn5fszn1CjfkR5pJxIErILQ9QnfieKypinyDvBHFUWvij1ogR3mhAlRtBNbNiMEmHPZaeRqUxkwuUdS_o0fGjdRDlWfqI8jx-3IJkzuwhRh8XUJg9VT58_44gkVRahOCAlsj8nqhztzx53gubhjC6bZSgGJW_k9sUTf7Jei","info@coloniasdeferias.pt","912 774 345","COMPLETO"
"Way2Surf - Aulas de Surf, Surf trips, Surf camps da Costa da ...","Surf e Mar","https://www.google.pt/goto?url=CAESTAHrOzAVYcwBJc4zPPqNLnjIJ2U5b2PMQrZ2L00PsE47MFS4v4lcoufXt9ajGaFOisVc3hajQ6Zx7rDyR0b65zJUHy4M8-SkCMu2w9w","","","FALHOU_SITE"
"Surfaventura - Campos de Férias","Surf e Mar","https://www.google.pt/goto?url=CAESaQHrOzAVyHdHdtX4ihuQGXatWCQWRHeMe7DTk11ApOLnJzeZVCyF4YNHoHWanLiAtko2SSakNlHLhC0pVfXK0BPtpaLVdk5YxHLuEhxqgL__-neuwVQr4DHlLa2qLnCUKleZJatj4O7Xiw","surfaventura@gmail.com","967786333","COMPLETO"
"Portugal Surf School | Escola de Surf na Costa da Caparica","Surf e Mar","https://www.google.pt/goto?url=CAESWgHrOzAVmL5YTZQ-XGrfUsZIbb-hbt6I2le-2F9X9BI7K23WWSTA2X7XRLhbCePjL3aXNbeA2KMFUIS_nfPGfbRrR1cFnPopKbRdSD0O3XjL-_pYzPIBVbKI7A","info@portugalsurfschool.pt","936 408 182","COMPLETO"
"Surf School Portugal | Surfe Lisboa com a gente!","Surf e Mar","https://www.google.pt/goto?url=CAEScAHrOzAV0bSHKNf-Axuy1rHMhldeoE24SqLdS6NGdc5EYem_Nsp2Z2qjtEoWBNR3xab8xUhV4S_SGyMvUIBKPiuw8JjqrbJNI-Z54Vxr47QU82U1_7K5ubsETBfJixM_nhUZPC5xlPErG24BIaa9rBg","info@gotadaguasurf.com","939 591 707","COMPLETO"
"Surf4Kids - Duckdive Surf Portugal","Surf e Mar","https://www.google.pt/goto?url=CAESVQHrOzAVqkGKogDNsQm5N2qELHKNzFIfIeY7cb0Sho01SA1ZOSnQDsNDLByv_D7JM_ZbFdWPA5J7_H6yKbNZvdF57OJWWc1x1cLO5Ihi2SQEE4ylgpc","info@duckdive.pt","967102127","COMPLETO"
"Nomad Surf Camps para adolescentes","Surf e Mar","https://www.google.pt/goto?url=CAESZwHrOzAVO2gEh6TmS_wI_mmvn-iEsBBB5or_HoPQb-p4Ucwtm_qlmWoBPrwihMY0s6VZ0QL5EJmywMBMW0ckCIY4rXitHJ_6O0jBge0qMjuYbT-qhi0VMLNBUEmk0ud3-1oXNIOZKho","","","FALHOU_SITE"
"Secret Surf School | Aperfeiçoa o teu Surf em Portugal","Surf e Mar","https://www.google.pt/goto?url=CAESTgHrOzAV-DxT2ieHVRNBNqUSi7NdyGX8cUniaaqzn7G-jW4A-5mo6HJlpSR1nz_9pwMSco9Y7FHQCkPU0owXm1lls4F3Dxkau6VQv04dBQ","info@secretsurf.pt","+351 915 480 890","COMPLETO"
"Onda Pura","Surf e Mar","https://www.google.pt/goto?url=CAESUQHrOzAVXYDqGntpPMAVuY4DZ9WC-rEeFMvT0RMRUz44Bd1C33xn1ikgk_t165yazyuJNlJj_hzxrE7I12Si5a0BrzpiPSX3UkDM5JYL2fjqgg","info@ondapura.com","+351 967 347 697","COMPLETO"
"Campo de Férias de Surf para Crianças em Cascais","Surf e Mar","https://www.google.pt/goto?url=CAESgAEB6zswFYR4ARLfpSPFl-Rt1BFlhiH3l0WvQmCnkp4X9ztcpvQVNcsofGuq5QzfDbFNWjEM70AXbOgH-dClQsEZPt-ge_hVpvbC1HXSA9rTBLf2-AzgM3fVHNhaIQ4poxY2epZjddu-WXToccrPzyOkjJdZuC9u_lJeo8Wssm4PRQ","","+351 964 449 436","FALHOU_SITE"
"Campo de Férias - I surf Portugal - Póvoa de Varzim e Vila ...","Surf e Mar","https://www.google.pt/goto?url=CAESZQHrOzAV3y99mOuPGKyIJ9GgV_teHYRbFbSRRbA5GcxhjYqweDgkd2BxeFf-YfMpBvBMMPdyYXWuogcimHpG068nf0nOpZylLxidx_PlQqXOx4dq2ZH0_jKIZXfcmbgnmBHVLFbh","info@isurfportugal.com","933 740 932","COMPLETO"
"Colónias de férias em Inglês 2026 - Juvigo","Línguas","https://www.google.pt/goto?url=CAESdAHrOzAVOfweH26o3-XvmyPBV8zqghzQgFm4x0dPpNbXGanbtja6pfhxBEMtM5EUMplngWT5Rfygl4my9a1M1MAQ1PkhK8l7v8LVhnc6trkQuO_RFPQ3SPXQ8oazCN45yj0WElR3ciyqpQM4p2Pc_uzwpJJk","contacto@juvigo.pt","210 204 945","COMPLETO"
"Acampamentos de verão em inglês ara crianças e jovens","Línguas","https://www.google.pt/goto?url=CAESdgHrOzAV9yqdPhe0aK4xxN70AkoAx0L3jeprRdAlprOIXb2NqhHGvJJzCxVs0M5yaC-vf0--7ETErs7a_KbSPYHpkbFm9ZlqD6mDNOW3wYGSTPF0q5Q40NeLEKlcNxprGzomXu2V5uJ94KEVnPVj2CBfNk9GdC0","","234567891","FALHOU_SITE"
"Acampamentos de verão em inglês para jovens","Línguas","https://www.google.pt/goto?url=CAESbgHrOzAV2ie0jz3tdQ9E9NDL62Lw-GziaQCQBEu1K9JNyOmhScBerEbUg1CgqhdsD1WlZmi4Y_3QDli7xvD-YW84sHxsmUKOrNDhFUCrv70c4g5jRauD132EeB5v50yX8L3HIYvALR_GQ4hXjhzZ","","","FALHOU_SITE"
"Cursos de Verão em Portugal","Línguas","https://www.google.pt/goto?url=CAEScwHrOzAV2cTjtAPnkD5Oyznsq531WeANTUMoY54KFexCho4PhMPvrvrqE75mDKqbMKIyH0AbIBvPx7JTYroA8R7wUfBqeT6oEZdLkYEFuNxN-Us0UBIKDMX__ykLwooVCnAvkyC9wwfyD8jXfogqu-hLQlo","direcao@funlanguages.pt","966 757 720","COMPLETO"
"Os melhores acampamentos de idiomas do mundo","Línguas","https://www.google.pt/goto?url=CAESYgHrOzAVH4xVcIwlgKgFHXIU1rSLhKo0V8FCEDB5Ru4dKKLm22lpfqQ8XOqZeMfBAeyX1-bgmzcka6HyUivH4nvdIhHdFexewPWDslUTmveVzEod1YbxUWbVryAdqaMbEPMK","","","FALHOU_SITE"
"Juvigo - Campos de férias e Cursos de Línguas","Línguas","https://www.google.pt/goto?url=CAESSgHrOzAV1labbdTyzctmr_7ICtgVCzQXLPV8_Yo_VRFcLgk1LXt5iiA_kitdtPYIyHTAPPs5wmSsS_CXrM9pc5gKOF98SYxgQSI8","","210 204 945","FALHOU_SITE"
"Cursos de Línguas (@juvigo_pt)","Línguas","https://www.google.pt/goto?url=CAESXAHrOzAViWfRmwvVsanFZcKeDz1AS_yRwVhJXTfEREnfAhnAqGVvylaGnhQ5YblByf3Aj4g6U_pSsdbdXNAjWKr3nOhR4lhGJxhsdR5uc0_cs7SfVJ-iUJhTfi1k","","","FALHOU_SITE"
"English Summer Camps Portugal","Línguas","https://www.google.pt/goto?url=CAESbAHrOzAVv76wN3StQs0M2T5MS05xUrmkrv5BjoFH_vYOemgscRcSG0jf3jfib-Mf2LxVn8Imx-pIEh6dhKyRNwZQGKoEtoimBMZ-HNNGVlcUtgdFHCxfmJN8feoJo5ikI4M141JOghXUPHAQPQ","geral@stpeters.pt","","COMPLETO"
"Summer Camps in Portugal | English Courses Children & ...","Línguas","https://www.google.pt/goto?url=CAESfwHrOzAVeWO5-l6ydujhT_PhZd2DmDWaGHN62X4K1X4MzPJw63hhaBPylZx83wkaehw7GAso4t73MfmBBHMXXNzsekGcPa5orKAl2F32uqk2hk4J-TjDogCYJH_fy-bmefQ2SdSPlVf4SGbgg0eqxPA_Z8jGkDPlKyXy3T4znFY","","","FALHOU_SITE"
"Acampamentos de Verão","Línguas","https://www.google.pt/goto?url=CAESZgHrOzAVZGX6wcrKt-BTZvwFm-xbJVzxf4aU2JLsxxbnqkmZ-BTOR1ZU4AaS5vLC4RYuC3JazbKLgky6D0sP0MmzU_nRKte_10GgJ3mtzl-i4mBji81d5U52eb4TEHTeLhIJkEFObA","","","FALHOU_SITE"
"Acampamentos de verão em inglês na Europa para juniores","Línguas","https://www.google.pt/goto?url=CAESeAHrOzAVgv5fDQH2zplnBg2WquoXrZNFwaj3ie7bbYoiCo-5grUr2Zdql5WDdPv7O4kfA9mhPRYH3IxHFWkTHYZbMJgnck210liF3Q2PTr6YQAvN1_65o4Uru1ha84nNX2hAhGLfKSDDsZkVouwbe2OIb5B5ftyLhA","","","FALHOU_SITE"
"Portugal - EnglishqQuestCamp","Línguas","https://www.google.pt/goto?url=CAESbgHrOzAVPGbaRUwuBzwfoLh2M_Tl7G_SOVYKtJMj2LBq_cknv02cKAOCBsDiV4B0aovqtX_qLh9-rjkW_V7PAZNLoJkQvTx8DfHOnxdByuNII4dLEWXSg-bu6VRMEyfNlq6P1uhQdHo_QywoEpU8","info@englishquestcamp.com","","COMPLETO"
"Acampamento de Verão em Inglês","Línguas","https://www.google.pt/goto?url=CAEScQHrOzAV_0qWp5U3ZW2BI04DlX7SMlamBZ-qEKXb3vf0pGkDr8NGCSMRyDjxPAd7vFhEQeI-uxzXRtAYfUN66yYmpGv1o2Z2jJDY7TEwZ6S0lUi-tE2TV8FYq8VTM6hAjGZ0_RSFwYnSPSLYusNRrkAt","","","FALHOU_SITE"
"Portugal - English Camps","Línguas","https://www.google.pt/goto?url=CAESdQHrOzAVWD4tIR8SsFYGpStxPTDSuvqCDEwRrYLE9nErZMzJJEBJTHskRaOO-WvagM4CGrTlLRkyvjxhzNubzoxmw1bOSpUbLaKIoZgYkY1qufBX_qofu-ZSUXQ14KYThA3TIce7PnMr1PTxKEp_Akg5TlOx3w","","","FALHOU_SITE"
"Cursos de verão no Estrangeiro","Línguas","https://www.google.pt/goto?url=CAESXgHrOzAVcnfJWiDYfP-102O79g1ExQfuRaj04qMZIILWDUzJ_KiOsJT36oaEM5djwu3J2Li7KMbklsDhHeQdoWrEeaqPseRNImPI4yykdV7XpjPnmMi662TTdNB-bXA","","","FALHOU_SITE"
"in Portugal in English Camps 2026","Línguas","https://www.google.pt/goto?url=CAESeAHrOzAVDoHTre3mu8yicBZ95k0kWzud2xoDvjJSEG_xeCGvD0Bo1jgRIsiLDXejqYpnAKtyXqKv2vPNdsFLmVkEkHdrXQM_kiZqKBBGVP8EYjwAeYbwTTgVm2A3sDdRZa7WsSD2-1bMCJW24NZm3qXgrioBuWNttA","info@solocampamentos.com","","COMPLETO"
"Top 7 summer camps in Portugal","Línguas","https://www.google.pt/goto?url=CAESfwHrOzAVWyVzjPYSYxPv3j-wlALdgk5oYInmZvnRoyI6wnQaN_PLhvEUabLsl_y0eKVas9UzK6NTz9BWTN_qoebf-9RM5aPO1QxgLxvr6ACTMqWaeBidZXiQttdCl7QdZvDvd5X_Pk1v_8XlG86tM2wFuSdIzmMjvFOo0hsI1ns","mail@smapse.com","204 577 264","COMPLETO"
"Campos de férias para aprender Inglês 2026 - Juvigo","Línguas","https://www.google.pt/goto?url=CAESgAEB6zswFcN8TPPehJfulJ7GbLxkVGu5s6Jy3X5--u0dWS7AMIJONwqCrc3CmEalV08hzjdbXD9aU1aOPTMcWeS88qBMSDTqmxaEEtiBEe7oNnV4QcsDGqX4Wghi4lHhr5bqZoNzzMsTk84rU8ld4B3dnLdBnffSASHuuNqYeUO4jQ","contacto@juvigo.pt","210 204 945","COMPLETO"
"SURVIVAL SUMMER CAMP in Portugal promises a unique ...","Línguas","https://www.google.pt/goto?url=CAESlgEB6zswFaipGLwuYlZ8hRrhjdQBzwFk0vY2YQiRUwCm2DfrE3s23Bn2y7LELCj4sbBU56DnA-41rUq7Q1NnXC-Zx04uUuw91PQi50k3ghlXZOEnQNJNsrjlGp1Bh0xFbUVo9eVWJcMmj-yoBaqbuuZt0XYPlM1qdFTcEt44tPEFqM_UHQSPRO8waso6L9YDrLLhAszhNSQ","info@primeschool.pt","","COMPLETO"
"Campos de férias em Lisboa 2026 para crianças e jovens","Artes e Criatividade","https://www.google.pt/goto?url=CAESawHrOzAVP_j8A6gWMw_HSyTQLhWY7gsjETvqWsVbvRq6jdVcAgmr_Rk86TFozaWf4b295td230AMs0os1ZKTQC5qca6zN6LLjeshKhiX9MfFkViVjk5GUrNWzbYhscLe2Lz9wiM0aLAaB2M8","","","FALHOU_SITE"
"Férias Artísticas 2026 para Crianças e Jovens","Artes e Criatividade","https://www.google.pt/goto?url=CAESYQHrOzAV7THfaP2vIMaziqiOXn9HgOwCHicO6tvQ79GZsY1x8iY9PtoIhmp6au55Mhh-RR_ymmUOfF3dzM0qjvzzPtkoGSvx7fZHxqd2_CMymuykZHIf-Q1V57Z8yALBFfw","servico.educativo@foriente.pt","","COMPLETO"
"Campos de férias Criativos 2026 - Juvigo","Artes e Criatividade","https://www.google.pt/goto?url=CAESdQHrOzAVW_XAGr75CSKd7LphuGb9KIsSncIXxS4DK1SESNRri1-VU21U5lze3TCZYmbIR1YFB5P8_yi2s4OIImI1ekhbFhfc-c1QA17Xmb5qqHcVj15tUom6t8hu7ix0OJlAAvnlJNyfLmIDAdT5QvET3ODR5w","servico.educativo@foriente.pt","","COMPLETO"
"FÉRIAS DE VERÃO WORKSHOP ARTES ...","Artes e Criatividade","https://www.google.pt/goto?url=CAESiQEB6zswFXd5siCtLaJ2R5TjaiHi5zI5eftOI3k5xdimf256NSW8gsWpxxyZxIXLAr6LnS7n4mxgGp76PXqs8n7kYkKzLoRFKpTehThOwk7tEjgI6GjIpF1mGG3Fwk_2pDEtiWuWTG72vSU-3gNBBRF_qsSNQRipXuWMi33Vv6_ZJA_UzkGSu1xarA","geral@oficinasteatrolisboa.com","","COMPLETO"
"O ARTS Summer School é um campo de férias de verão ...","Artes e Criatividade","https://www.google.pt/goto?url=CAESYAHrOzAVApzzCZGit923qR7hT85O35dYm4SCo5GCEWoBJKtsOjeaHd_6C2jRnI8CUeYvtkQ0v4anK40ics2e8tfF6ZJHRfdtJACQnu3a7TJdFhWiYWT12-4nGgkuH1uOdg","","","FALHOU_SITE"
"Summer Art Camp","Artes e Criatividade","https://www.google.pt/goto?url=CAESaAHrOzAVto_dDZbDpA5XQkWnl-VgUNvr8I7ihtPbxmbCPtd_IF2Ml9vHjiy7o-24gm8IWH8D1Z5rDANHLE49ahGRONwoB4glmP7Lqptdo4TTL5kTQnHFPZG_H0HBB3ya96r7m3wesQgR","startwithartclub@gmail.com","916 948 080","COMPLETO"
"WORKSHOPS","Artes e Criatividade","https://www.google.pt/goto?url=CAESWgHrOzAVac91dgSTY04xf9GeKvUVg2erJiUIeZcm7hPUyRRntITiH_QiwXrJMNHqEzQO_MbJzf_EYYUYbAj-tVS98qKeYWznL-xR8pB6dFUpvJO4Ybs4w30mEg","artemove@artemove.com","","COMPLETO"
"Campo de Férias Criativo em Lisboa para crianças até 12 anos","Artes e Criatividade","https://www.google.pt/goto?url=CAEShQEB6zswFRnAJoRa23qyBDj-vdDsJY2Vr9x77Lfk9i4a-7wanWicCjQ61r7ZvnnYtgLZNYVP4xWJ9curvg6OgBXAAPcN39011AuKcWnxr3N_m-AgibHoiqshZI5N4ChZ8GQPVaudfUbcJsFKymtFF5-P-3XB_D4bgEatKAfHdxt4LZGlj4IC","info@coloniasdeferias.pt","917 845 862","COMPLETO"
"Oficinas Criativas - Arteviva","Artes e Criatividade","https://www.google.pt/goto?url=CAESYQHrOzAVz-MXkE9ozbl1pPOsAfDLeNVi8Bes_r9JQIAJEjIsRUbOYGcQCrk9fmbAvzc3eCV0DmRLObrRnQPqAxond8V2DHmUFh7svhp6pV3Rp32R5TiyuhB9UkF286Jp4UI","","910 093 886","FALHOU_SITE"
"Campos de Férias Criativos","Artes e Criatividade","https://www.google.pt/goto?url=CAESgAEB6zswFSOnH4sjW7mfJJYcHs3SKtTb_rZn76RSGT3-T-CuACXM-XA8rm9Vvhc5K7Shd7rhD_7URZUekVuHgqBaT7PVmArk98ECOI-eMHOT9xhpcAujD8do8rmaTyQtMKBHmDv6l3ORfFScauop_BPDgK5UDeZIWcSQX3KETMaBpg","","","FALHOU_SITE"
